'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M4', 16, 14
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M5', 40, 16
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M5', 45, 16
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M5', 45, 16
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M6', 40, 18
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M6', 45, 18
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M8', 60, 22
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M8', 70, 22
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M10', 70, 26

'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M3', 30, 25
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M4', 40, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M4', 40, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M5', 40, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M5', 45, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M5', 50, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M6', 50, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M6', 55, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M6', 60, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M8', 60, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M8', 60, 38
'Hengeres feju egyenes hornyos csavar', 'Hengeres feju egyenes hornyos csavar', 'M10', 60, 38

'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M3', 30, 25
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M4', 40, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M4', 40, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M5', 40, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M5', 45, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M5', 50, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M6', 40, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M6', 45, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M6', 50, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M8', 55, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M8', 55, 38
'Lencsefeju egyenes hornyos csavar', 'Lencsefeju egyenes hornyos csavar', 'M10', 60, 38

'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M3', 30, 25
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M4', 40, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M4', 40, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M5', 40, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M5', 45, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M5', 50, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M6', 40, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M6', 45, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M6', 50, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M8', 55, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M8', 55, 38
'Süllyesztett feju kereszthornyos csavar', 'Süllyesztett feju kereszthornyos csavar', 'M10', 60, 38
